No,Symbol,Exchange,Name,Tweet7d
1,SZ300104,SZ,乐视网,222171.0
2,SZ000002,SZ,万科A,119177.0
3,SZ002024,SZ,苏宁云商,115416.0
4,SH600036,SH,招商银行,110627.0
5,SZ000651,SZ,格力电器,109084.0
6,SH601318,SH,中国平安,94639.0
7,SH600030,SH,中信证券,94040.0
8,SZ002594,SZ,比亚迪,82367.0
9,SH600000,SH,浦发银行,74437.0
10,SH601166,SH,兴业银行,73852.0
11,SH601766,SH,中国中车,67619.0
12,SH600016,SH,民生银行,55404.0
13,SH601857,SH,中国石油,50059.0
14,SZ002230,SZ,科大讯飞,47924.0
15,SH600519,SH,贵州茅台,43919.0
16,SZ000625,SZ,长安汽车,42628.0
17,SH600887,SH,伊利股份,40526.0
18,SZ000858,SZ,五粮液,40511.0
19,SH601668,SH,中国建筑,38050.0
20,SH600837,SH,海通证券,36600.0
